order_type,order_type2,algorithm,period,mm,active
buy,,MMEvol,720,15,true
buy,,MMEvol,720,30,true
buy,,MMEvol,720,45,true
buy,,MMEvol,720,60,true
buy,,MMEvol,720,75,true
buy,,MMEvol,720,90,true
buy,,MMEvol,720,105,true
buy,,MMEvol,720,120,true
buy,,MMEvol,720,180,true
buy,,MMEvol,720,360,true
buy,,MMEvol,720,540,true
buy,,MMEvol,720,720,true
buy,,MMEvol,720,1440,true
buy,,MMEvol,1440,1,true
buy,,MMEvol,1440,5,true
buy,,MMEvol,1440,15,true
buy,,MMEvol,1440,30,true
buy,,MMEvol,1440,45,true
buy,,MMEvol,1440,60,true
buy,,MMEvol,1440,75,true
buy,,MMEvol,1440,90,true
buy,,MMEvol,1440,105,true
buy,,MMEvol,1440,120,true
buy,,MMEvol,1440,180,true
buy,,MMEvol,1440,360,true
buy,,MMEvol,1440,540,true
buy,,MMEvol,1440,720,true
buy,,MMEvol,1440,1440,true
,,,,,
,,,,,
